 AP   F1   A2   A3   A4   A5   A6   AB  TILT  T0   AV   F2   F3   F4   FZ   B1   B2   B3   B4   PH   DU   DP  OPENQ FNP  FNF  GNF GSPD
   0  575    0    0    0    0    0    0    0  362   63  996 2638 3395  290  103   90  133  200   30   21    0   50  290  550    0   13 
   0  557    0    0    0    0    0    0    0  363   63  970 2685 3412  290  101   90  136  200   30   21    0   50  290  550    0   13 
   0  539    0    0    0    0    0    0    0  364   63  959 2743 3426  370   99   90  139  200   30   21    0   50  290  870    0   13 
   0  532    0    0    0    0    0    0    0  365   63  948 2774 3432  370   98   90  143  200   30   21    0   50  290  870    0   13 
   2  524    0    0    0    0    0    0    1  365   63  936 2805 3438  370   96   90  146  200   30   21    0   50  290  870    0   13 
   5  516    0    0    0    0    0    0    2  366   63  924 2836 3444  370   94   90  149  200   30   21    0   50  290  870    0   13 
   8  509    0    0    0    0    0    0    3  367   63  913 2867 3450  370   93   90  153  200   30   21    0   50  290  870    0   13 
  11  501    0    0    0    0    0    0    4  368   63  901 2898 3456  370   91   90  156  200   30   21    0   50  290  870    0   13 
  13  494    0    0    0    0    0    0    5  369   63  890 2929 3462  370   90   90  160  200   30   21    0   50  290  870    0   13 
  16  494    0    0    0    0    0    0    6  369   63  890 2929 3462  370   90   90  160  200   30   21    0   50  290  870    0   13 
  19  494    0    0    0    0    0    0    7  370   63  890 2929 3462  370   90   90  160  200   30   21    0   50  290  870    0   13 
  17  494    0    0    0    0    0    0    8  371   63  890 2929 3462  370   90   90  160  200   30   21    0   48  290  870    0   13 
  19  494    0    0    0    0    0    0    9  372   62  890 2929 3462  370   90   90  160  200   30   21    0   46  290  870    0   13 
  22  494    0    0    0    0    0    0   10  372   61  890 2929 3462  370   90   90  160  200   30   21    0   44  290  870    0   13 
  25  494    0    0    0    0    0    0   11  373   61  890 2929 3462  370   90   90  160  200   30   21   10   42  290  870    0   13 
  27  494    0    0    0    0    0    0   12  374   60  890 2929 3462  370   90   90  160  200   30   21   20   40  290  870    0   13 
  29  494    0    0    0    0    0    0   13  375   59  890 2929 3462  370   97   90  160  200   30   21   30   38  290  870    0   13 
  32  494    0    0    0    0    0    0   14  375   59  890 2929 3462  370  105   90  160  200   30   21   40   36  290  870    0   13 
  35  494    0    0    0    0    0    0   15  377   58  890 2929 3462  370  112   90  160  200   30   21   50   34  290  870    0   13 
  38  494    0    0    0    0    0    0   16  377   58  890 2929 3462  370  120   90  160  200   30   21   60   32  290  870    0   13 
  39  494    0    0    0    0    0    0   17  378   57  890 2929 3462  370  128   90  160  200   30   21   70   30  290  870    0   13 
  42  494    0    0    0    0    0    0   18  379   56  890 2929 3462  370  135   90  160  200   30   21   80   30  290  870    0   13 
  45  494    0    0    0    0    0    0   19  379   56  890 2929 3462  370  143   90  160  200   30   21   90   30  290  870    0   13 
   9  494    0    0    0    0    0    0   19  379    0  890 2929 3462  290   90   90  160  200    0   72   10   32  290  550    0   13 
   9  490    0    0    0    0    0    0   14  379    0  948 2956 3312  290   90   90  160  200    0   72   20   34  290  550    0   13 
   8  490    0    0    0    0    0    0    9  379    0  948 2956 3312  290   90   90  160  200    0   72   30   36  290  550    0   13 
   7  490    0    0    0    0    0    0    4  380    0  948 2956 3312  290   90   90  160  200    0   72   40   38  290  550    0   13 
   6  490    0    0    0    0    0    0    0  381    0  948 2956 3312  290   90   90  160  200    0   72   50   40  290  550    0   13 
   6  490    0    0    0    0    0    0    0  382    0  948 2956 3312  290   90   90  160  200    0   72   60   42  290  550    0   13 
   5  490    0    0    0    0    0    0    0  383    0  948 2956 3312  290   90   90  160  200    0   72   70   44  290  550    0   13 
   4  490    0    0    0    0    0    0    0  384    0  948 2956 3312  290   90   90  160  200    0   72   80   46  290  550    0   13 
   3  490    0    0    0    0    0    0    0  385    0  948 2956 3312  290   90   90  160  200    0   72   90   48  290  550    0   13 
   3  490    0    0    0    0    0    0    0  386    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   2  490    0    0    0    0    0    0    0  387    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   1  490    0    0    0    0    0    0    0  388    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  389    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  390    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  391    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  392    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  392    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  393    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  394    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  394    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  395    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  395    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  396    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  396    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  397    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  397    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  398    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  398    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  398    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  398    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  398    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  398    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
   0  490    0    0    0    0    0    0    0  399    0  948 2956 3312  290   90   90  160  200    0   72   90   50  290  550    0   13 
